incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,statistical_murder_flag,loc_classfctn_desc,loc_of_occur_desc
283885164,2024-03-16T00:00:00.000,12:45:00,MANHATTAN,9,0,(null),25-44,M,WHITE HISPANIC,25-44,M,BLACK,989057,204238,40.72726147876676,-73.98265669309377,POINT (-73.98265669309377 40.72726147876676),N,STREET,OUTSIDE
280943246,2024-01-22T00:00:00.000,22:21:00,BRONX,44,0,(null),25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1006796,241740,40.83017,-73.918527,POINT (-73.918527 40.83017),N,STREET,OUTSIDE
282368516,2024-02-17T00:00:00.000,02:36:00,QUEENS,102,0,GAS STATION,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1036134,192055,40.693673,-73.812899,POINT (-73.812899 40.693673),N,STREET,OUTSIDE
287476966,2024-05-24T00:00:00.000,23:50:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),18-24,M,BLACK,1000956,195764,40.70399,-73.939746,POINT (-73.939746 40.70399),N,HOUSING,OUTSIDE
282117921,2024-02-12T00:00:00.000,16:32:00,BRONX,44,1,(null),<18,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244),N,TRANSIT,INSIDE
286823129,2024-05-13T00:00:00.000,20:02:00,BRONX,46,0,(null),<18,M,BLACK HISPANIC,18-24,M,ASIAN / PACIFIC ISLANDER,1012047,251620,40.857271,-73.899512,POINT (-73.899512 40.857271),N,PLAYGROUND,INSIDE
288243974,2024-06-09T00:00:00.000,00:59:00,BRONX,48,0,(null),(null),(null),(null),25-44,M,BLACK,1014092,251307,40.85640404084293,-73.89212314731202,POINT (-73.89212314731202 40.85640404084293),N,STREET,OUTSIDE
282423225,2024-02-18T00:00:00.000,03:56:00,MANHATTAN,32,0,(null),25-44,M,BLACK,45-64,M,BLACK,999508,235734,40.813698,-73.944875,POINT (-73.944875 40.813698),N,STREET,OUTSIDE
283020987,2024-02-29T00:00:00.000,19:27:00,BRONX,40,0,GROCERY/BODEGA,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1009568,236579,40.815995,-73.908532,POINT (-73.908532 40.815995),N,COMMERCIAL,INSIDE
284878826,2024-04-05T00:00:00.000,23:00:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),18-24,M,BLACK,1000301,192923,40.696192,-73.942116,POINT (-73.942116 40.696192),N,HOUSING,OUTSIDE
287507792,2024-05-26T00:00:00.000,18:45:00,QUEENS,106,0,(null),(null),(null),(null),18-24,M,BLACK HISPANIC,1024227,181473,40.664688,-73.855901,POINT (-73.855901 40.664688),N,STREET,OUTSIDE
286513376,2024-05-07T00:00:00.000,21:14:00,BRONX,44,0,(null),(null),(null),(null),18-24,F,BLACK,1006671,241120,40.828466,-73.918981,POINT (-73.918981 40.828466),N,STREET,OUTSIDE
280370387,2024-01-11T00:00:00.000,21:34:00,BRONX,43,0,(null),25-44,M,BLACK,25-44,M,BLACK,1021739,244529,40.837771289628165,-73.86451768463364,POINT (-73.86451768463364 40.837771289628165),N,STREET,OUTSIDE
286725461,2024-05-04T00:00:00.000,19:55:00,BROOKLYN,76,0,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),18-24,M,WHITE HISPANIC,990484,190586,40.68979,-73.977519,POINT (-73.977519 40.68979),N,HOUSING,OUTSIDE
286159384,2024-04-30T00:00:00.000,13:35:00,MANHATTAN,34,0,(null),65+,M,WHITE HISPANIC,65+,M,BLACK HISPANIC,1003027,248606,40.849022,-73.932127,POINT (-73.932127 40.849022),N,STREET,OUTSIDE
279799858,2024-01-01T00:00:00.000,14:57:00,BRONX,52,0,(null),25-44,M,WHITE HISPANIC,18-24,M,BLACK,1014086,254305,40.86463266264929,-73.89213149135563,POINT (-73.89213149135563 40.86463266264929),N,STREET,OUTSIDE
280638541,2024-01-16T00:00:00.000,15:00:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,25-44,M,BLACK,UNKNOWN,M,WHITE,1007743,184918,40.674205,-73.915304,POINT (-73.915304 40.674205),N,DWELLING,INSIDE
283641593,2024-03-12T00:00:00.000,20:35:00,BROOKLYN,79,0,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,45-64,M,BLACK,995918,190890,40.69062,-73.957925,POINT (-73.957925 40.69062),N,HOUSING,OUTSIDE
282421353,2024-02-16T00:00:00.000,16:43:00,BROOKLYN,75,0,MULTI DWELL - APT BUILD,25-44,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1017931,188785,40.684785,-73.878556,POINT (-73.878556 40.684785),Y,DWELLING,INSIDE
280519831,2024-01-14T00:00:00.000,20:14:00,BROOKLYN,73,1,(null),(null),(null),(null),45-64,M,BLACK,1009519,180676,40.6625545044738,-73.90891970492359,POINT (-73.90891970492359 40.6625545044738),Y,TRANSIT,INSIDE
284942023,2024-04-07T00:00:00.000,15:35:00,BRONX,46,0,(null),(null),(null),(null),18-24,M,WHITE HISPANIC,1011425,251298,40.85638795051521,-73.90176420360393,POINT (-73.90176420360393 40.85638795051521),N,STREET,OUTSIDE
288617787,2024-06-16T00:00:00.000,23:35:00,MANHATTAN,34,0,(null),<18,M,BLACK,25-44,M,BLACK,1006604,254113,40.864128,-73.919179,POINT (-73.919179 40.864128),Y,STREET,OUTSIDE
285883381,2024-04-24T00:00:00.000,15:00:00,MANHATTAN,32,0,(null),(null),(null),(null),18-24,M,BLACK,1000913,238269,40.820654,-73.939794,POINT (-73.939794 40.820654),N,STREET,OUTSIDE
284584434,2024-03-30T00:00:00.000,20:50:00,BRONX,46,0,(null),18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068278967,POINT (-73.89579068278967 40.85974771441924),Y,STREET,OUTSIDE
286036819,2024-04-27T00:00:00.000,20:43:00,BROOKLYN,67,0,(null),18-24,M,BLACK,18-24,M,BLACK,1004497,176955,40.652355,-73.927031,POINT (-73.927031 40.652355),Y,STREET,OUTSIDE
289233742,2024-06-27T00:00:00.000,22:15:00,BROOKLYN,79,0,(null),(null),(null),(null),18-24,M,WHITE HISPANIC,996899,189128,40.68578036332486,-73.95439171425564,POINT (-73.95439171425564 40.68578036332486),N,STREET,OUTSIDE
287998198,2024-03-15T00:00:00.000,22:16:00,MANHATTAN,28,0,(null),45-64,M,BLACK,45-64,M,BLACK,998100,233193,40.806726,-73.949968,POINT (-73.949968 40.806726),N,STREET,OUTSIDE
284932567,2024-04-06T00:00:00.000,20:50:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),25-44,M,BLACK,987560,187812,40.682178,-73.988064,POINT (-73.988064 40.682178),N,HOUSING,INSIDE
284213336,2024-03-23T00:00:00.000,02:14:00,BROOKLYN,78,0,(null),(null),(null),(null),25-44,M,BLACK,990105,182697,40.668137,-73.978893,POINT (-73.978893 40.668137),N,STREET,OUTSIDE
287577768,2024-05-28T00:00:00.000,10:41:00,BROOKLYN,75,0,(null),(null),(null),(null),25-44,M,BLACK,1019994,184932,40.674202,-73.871139,POINT (-73.871139 40.674202),N,STREET,OUTSIDE
280120264,2024-01-07T00:00:00.000,17:15:00,BROOKLYN,63,0,CHAIN STORE,(null),(null),(null),25-44,M,BLACK,1004239,167352,40.625998,-73.927988,POINT (-73.927988 40.625998),N,COMMERCIAL,OUTSIDE
288208647,2024-06-08T00:00:00.000,21:31:00,QUEENS,102,0,PVT HOUSE,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,1030162,191193,40.69134,-73.83444,POINT (-73.83444 40.69134),N,DWELLING,INSIDE
282117921,2024-02-12T00:00:00.000,16:32:00,BRONX,44,1,(null),<18,M,BLACK HISPANIC,25-44,M,BLACK,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244),N,TRANSIT,INSIDE
285004479,2024-04-08T00:00:00.000,19:53:00,BROOKLYN,73,0,(null),(null),(null),(null),45-64,M,BLACK,1010184,182784,40.668341,-73.906514,POINT (-73.906514 40.668341),Y,STREET,OUTSIDE
288978574,2024-06-22T00:00:00.000,02:00:00,BRONX,41,0,(null),(null),(null),(null),18-24,F,WHITE HISPANIC,1013099,235152,40.81206655899077,-73.89578225284386,POINT (-73.89578225284386 40.81206655899077),N,STREET,OUTSIDE
285682731,2024-04-21T00:00:00.000,02:10:00,BRONX,48,0,BAR/NIGHT CLUB,(null),(null),(null),18-24,M,BLACK HISPANIC,1015643,250609,40.854483,-73.886519,POINT (-73.886519 40.854483),N,COMMERCIAL,INSIDE
281933972,2024-02-08T00:00:00.000,19:06:00,MANHATTAN,14,0,(null),<18,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,987952,214356,40.75503340159596,-73.98663788428713,POINT (-73.98663788428713 40.75503340159596),N,STREET,OUTSIDE
281196350,2024-01-26T00:00:00.000,20:50:00,QUEENS,103,0,(null),(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,1041685,198145,40.710354,-73.79283,POINT (-73.79283 40.710354),N,STREET,OUTSIDE
284321058,2024-03-25T00:00:00.000,21:00:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),<18,M,BLACK,1009821,236558,40.815938,-73.907617,POINT (-73.907617 40.815938),N,HOUSING,OUTSIDE
288795045,2024-06-19T00:00:00.000,11:52:00,BRONX,48,0,(null),(null),(null),(null),25-44,M,BLACK,1013179,251338,40.856494,-73.895422,POINT (-73.895422 40.856494),N,STREET,OUTSIDE
287498827,2024-05-26T00:00:00.000,04:10:00,BROOKLYN,77,0,(null),(null),(null),(null),65+,M,BLACK,998152,185742,40.676485,-73.94988,POINT (-73.94988 40.676485),N,STREET,OUTSIDE
283691721,2024-03-13T00:00:00.000,14:24:00,BRONX,44,0,(null),(null),(null),(null),18-24,M,BLACK HISPANIC,1007072,239961,40.825285,-73.917538,POINT (-73.917538 40.825285),N,STREET,OUTSIDE
286395222,2024-05-03T00:00:00.000,03:23:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,(null),(null),(null),25-44,M,BLACK,1010947,184366,40.67268,-73.903755,POINT (-73.903755 40.67268),N,DWELLING,INSIDE
282041194,2024-02-10T00:00:00.000,21:25:00,BRONX,44,0,(null),18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1007536,244566,40.837924,-73.915846,POINT (-73.915846 40.837924),N,STREET,OUTSIDE
284155823,2024-03-21T00:00:00.000,22:33:00,QUEENS,113,0,(null),(null),(null),(null),18-24,M,BLACK,1049436,188454,40.6837,-73.764966,POINT (-73.764966 40.6837),Y,STREET,OUTSIDE
279799859,2024-01-01T00:00:00.000,02:55:00,BRONX,43,0,(null),(null),(null),(null),25-44,M,WHITE HISPANIC,1020650,242677,40.832692646216834,-73.86846328972835,POINT (-73.86846328972835 40.832692646216834),N,STREET,OUTSIDE
282117253,2024-02-12T00:00:00.000,15:00:00,BRONX,40,0,(null),(null),(null),(null),<18,M,BLACK,1010096,237401,40.818249,-73.906619,POINT (-73.906619 40.818249),N,STREET,OUTSIDE
286159383,2024-04-30T00:00:00.000,14:43:00,BRONX,44,0,(null),18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1006682,243781,40.83577,-73.918934,POINT (-73.918934 40.83577),N,STREET,OUTSIDE
280245039,2024-01-09T00:00:00.000,15:43:00,BRONX,47,0,COMMERCIAL BLDG,(null),(null),(null),25-44,M,BLACK,1031274,261802,40.885136,-73.829935,POINT (-73.829935 40.885136),N,COMMERCIAL,INSIDE
287782835,2024-05-31T00:00:00.000,21:45:00,BROOKLYN,77,0,(null),2021,M,BLACK,18-24,M,BLACK,1003437,184082,40.671919,-73.93083,POINT (-73.93083 40.671919),N,STREET,OUTSIDE
286039709,2024-04-27T00:00:00.000,11:40:00,BRONX,49,0,(null),(null),(null),(null),<18,M,WHITE HISPANIC,1000688,236005,40.81444,-73.940612,POINT (-73.940612 40.81444),N,OTHER,OUTSIDE
284274405,2024-03-24T00:00:00.000,19:20:00,MANHATTAN,25,0,(null),(null),(null),(null),25-44,M,WHITE HISPANIC,1001963,233039,40.806296307097966,-73.9360168931391,POINT (-73.9360168931391 40.806296307097966),Y,STREET,OUTSIDE
285004478,2024-04-08T00:00:00.000,23:00:00,BROOKLYN,73,0,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),<18,M,BLACK,1006641,185717,40.676401,-73.919276,POINT (-73.919276 40.676401),N,HOUSING,INSIDE
286823128,2024-05-13T00:00:00.000,23:55:00,BRONX,50,0,(null),(null),(null),(null),18-24,M,BLACK HISPANIC,1011141,255864,40.868923,-73.902772,POINT (-73.902772 40.868923),N,STREET,OUTSIDE
286523177,2024-05-07T00:00:00.000,14:26:00,MANHATTAN,1,0,(null),<18,M,BLACK HISPANIC,<18,M,BLACK,982817,203638,40.725616,-74.005167,POINT (-74.005167 40.725616),Y,STREET,OUTSIDE
287141365,2024-05-19T00:00:00.000,22:50:00,BRONX,47,0,(null),(null),(null),(null),25-44,M,BLACK,1026894,263907,40.890937,-73.845764,POINT (-73.845764 40.890937),Y,STREET,OUTSIDE
287857963,2024-06-02T00:00:00.000,03:29:00,QUEENS,100,2,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),18-24,M,BLACK,1037496,154255,40.589911,-73.808286,POINT (-73.808286 40.589911),N,HOUSING,OUTSIDE
288365031,2024-06-11T00:00:00.000,19:25:00,QUEENS,113,0,(null),25-44,M,BLACK,18-24,M,BLACK,1050780,183014,40.668758,-73.760172,POINT (-73.760172 40.668758),N,STREET,OUTSIDE
285449093,2024-04-16T00:00:00.000,18:10:00,BRONX,44,0,(null),25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1007885,246405,40.84297,-73.914577,POINT (-73.914577 40.84297),N,STREET,OUTSIDE
280879491,2024-01-21T00:00:00.000,06:08:00,BRONX,47,0,(null),(null),(null),(null),25-44,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691),N,STREET,INSIDE
287123516,2024-05-18T00:00:00.000,22:28:00,BROOKLYN,73,0,(null),(null),(null),(null),25-44,M,BLACK,1009515,183436,40.670131,-73.908924,POINT (-73.908924 40.670131),N,STREET,OUTSIDE
285315560,2024-04-14T00:00:00.000,04:00:00,QUEENS,108,0,BAR/NIGHT CLUB,25-44,M,BLACK,25-44,M,BLACK,1007679,209904,40.742785,-73.915449,POINT (-73.915449 40.742785),N,COMMERCIAL,OUTSIDE
283711012,2024-03-13T00:00:00.000,11:14:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,25-44,M,BLACK,25-44,M,BLACK,1009450,182401,40.66729,-73.909161,POINT (-73.909161 40.66729),Y,STREET,OUTSIDE
288607691,2024-06-15T00:00:00.000,21:00:00,BRONX,42,0,(null),(null),(null),(null),25-44,M,BLACK,1013340,243235,40.834253,-73.894873,POINT (-73.894873 40.834253),N,STREET,INSIDE
284540124,2024-03-29T00:00:00.000,19:54:00,MANHATTAN,7,0,(null),18-24,M,BLACK HISPANIC,18-24,M,BLACK,988980,201020,40.71843,-73.982936,POINT (-73.982936 40.71843),N,OTHER,OUTSIDE
284321059,2024-03-25T00:00:00.000,22:09:00,BRONX,46,0,SMALL MERCHANT,25-44,M,BLACK,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE,1013790,253301,40.861879,-73.893205,POINT (-73.893205 40.861879),N,COMMERCIAL,INSIDE
284877788,2024-04-05T00:00:00.000,17:20:00,QUEENS,105,0,(null),18-24,M,BLACK,25-44,M,BLACK,1056374,179621,40.659403,-73.740045,POINT (-73.740045 40.659403),N,COMMERCIAL,OUTSIDE
283198892,2024-03-04T00:00:00.000,17:40:00,BRONX,46,0,(null),18-24,M,BLACK,<18,M,WHITE HISPANIC,1012233,252363,40.85930853041023,-73.89883889449911,POINT (-73.89883889449911 40.85930853041023),N,STREET,OUTSIDE
282064253,2024-02-11T00:00:00.000,21:50:00,MANHATTAN,13,0,(null),18-24,M,BLACK HISPANIC,25-44,M,BLACK,987366,208421,40.738744,-73.988753,POINT (-73.988753 40.738744),N,STREET,OUTSIDE
284444369,2024-03-27T00:00:00.000,13:12:00,BROOKLYN,79,0,(null),(null),(null),(null),18-24,M,BLACK,1000374,189791,40.687596,-73.941859,POINT (-73.941859 40.687596),N,STREET,OUTSIDE
288208647,2024-06-08T00:00:00.000,21:31:00,QUEENS,102,0,PVT HOUSE,25-44,M,ASIAN / PACIFIC ISLANDER,45-64,F,ASIAN / PACIFIC ISLANDER,1030162,191193,40.69134,-73.83444,POINT (-73.83444 40.69134),Y,DWELLING,INSIDE
